No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;ZTE;ZTE nubia Focus Pro;https://www.gsmarena.com/zte_nubia_focus_pro-12850.php;N/A;N/A;33W wired;5000 mAh;N/A;Glass front, plastic frame, glass back;166 x 76.1 x 8.5 mm (6.54 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;222 g (7.83 oz);5.2, A2DP, LE;N/A;Yes (market/region dependent);GPS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~86.3% screen-to-body ratio);IPS LCD, 120Hz;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, February 28;Available. Released 2024, Q2;N/A;LED flash, HDR;N/A;N/A;"108 MP, f/1.8, 24mm (wide), 1/1.67"", PDAF, OIS
5 MP, f/2.2, 17mm (ultrawide), AF
2 MP, f/2.4, (depth)";4K@30fps, 1080p@30fps;UFS 3.1;No;256GB 8GB RAM;Black, Gold;Z2351N;€ 179.96 / £ 185.97;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41;1, 3, 7, 8, 20, 28, 38, 40, 41, 71, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.2 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55);Unisoc T760 (6 nm);Mali-G57;Android 13;N/A;32 MP, f/2.5, (wide);1080p@30fps;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
2;ZTE;ZTE nubia Flip;https://www.gsmarena.com/zte_nubia_flip-12844.php;N/A;N/A;33W wired, PD3.0, PPS, QC4+, 50% in 18 min;4310 mAh;N/A;Aluminum alloy frame, glass back;Unfolded: 170 x 75.5 x 7.0 mmFolded: 87.6 x 75.5 x 15 mm;Nano-SIM + eSIMNano-SIM + Nano-SIM;214 g (7.55 oz);5.1, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS;No;USB Type-C;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;"Cover display:
OLED, 1.43 inches, 466 x 466 pixels";N/A;1188 x 2790 pixels, 21:9 ratio (~439 ppi density);6.9 inches, 110.7 cm2 (~86.3% screen-to-body ratio);Foldable OLED, 1B colors, 120Hz;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, February 26;Available. Released 2024, April 23;"50 MP, (wide), PDAF
2 MP, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;4K, 1080p;N/A;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM;Sunshine Gold, Cosmic Black, Flowering Lilac;N/A;€ 344.30 / £ 329.80;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510);Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm);Adreno 644;Android 13;N/A;16 MP, (wide);1080p@30fps;Snapdragon Sound;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3;ZTE;ZTE nubia Z50 Ultra;https://www.gsmarena.com/zte_nubia_z50_ultra-12157.php;N/A;N/A;80W wired, PD3.0, QC4;Li-Po 5000 mAh;N/A;N/A;163.9 x 76.3 x 8.3 mm (6.45 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;228 g (8.04 oz);5.3, A2DP, LE Audio, aptX HD, aptX Adaptive, aptX Lossless;Yes;Yes;GPS (L1+L5), GLONASS (L1+L2+L5), GALILEO, BDS;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;N/A;N/A;1116 x 2480 pixels, 20:9 ratio (~400 ppi density);6.8 inches, 111.6 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, 1500 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, March 07;Available. Released 2023, March 14;N/A;Laser AF, Ring-LED, dual-tone flash, panorama, HDR;N/A;N/A;"64 MP, f/1.6, 35mm (standard), 1/1.73"", 0.8µm, PDAF, OIS
64 MP, f/3.3, 85mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3.3x optical zoom (vs. 26mm cam)
50 MP, f/2.X, 14mm, 116˚ (ultrawide), PDAF";8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM;Black, Silver, Starry Sky;NX712J;About 540 EUR;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Adreno 740;Android 13, MyOS 13;HDR;"16 MP, f/2.0, 26mm (wide), 1/2.8"", 1.22µm, under display";1080p@30fps;"24-bit/192kHz Hi-Res audio
Snapdragon Sound";No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
4;ZTE;ZTE nubia Z50S Pro;https://www.gsmarena.com/zte_nubia_z50s_pro-12428.php;N/A;N/A;80W wired;Li-Po 5100 mAh;N/A;Glass front, silicone polymer back (eco leather), aluminum frame;163.9 x 76.3 x 8.3 mm (6.45 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;228 g (8.04 oz);5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;Yes;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (market/region dependent), Wi-Fi Direct;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~452 ppi density);6.8 inches, 111.6 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 1200 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, July 20;Available. Released 2023, July 27;"50 MP, f/1.6, 35mm (standard), 1/1.49"", 1.0µm, PDAF, OIS
8 MP, f/2.4, 80mm (telephoto), 1/4.4"", PDAF, OIS, optical zoom
50 MP, f/2.0, 13mm, 125˚ (ultrawide), 1/2.88"", 0.61µm, AF";Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;N/A;8K@30fps, 4K@30/60/120fps, 1080p, gyro-EIS, 10-bit;"UFS 4.0 - 256GB
UFS 3.1 - 1TB";No;256GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM;Black, Khaki, Silver/White;NX713J;$ 799.99 / £ 580.00;N/A;CDMA2000 1xEV-DO;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 41, 77, 78 SA/NSA;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Qualcomm SM8550-AC Snapdragon 8+ Gen 2 (4 nm);Adreno 740 (719 MHz);Android 13, MyOS 13, no planned android upgrades;N/A;"16 MP, f/2.5, 26mm (wide), 1/3.06"", 1.0µm";1080p@30fps;"24-bit/192kHz Hi-Res audio
Snapdragon Sound";No;Yes, with stereo speakers;N/A;Active use score 12:29h;N/A;Photo / Video;1029 nits max brightness (measured);-25.2 LUFS (Very good);"AnTuTu: 1650939 (v10)
GeekBench: 5569 (v6)
GFXBench: 83fps (ES 3.1 onscreen)"
5;ZTE;ZTE V70;https://www.gsmarena.com/zte_v70-12341.php;N/A;N/A;66W wired, 50% in 15 min;Li-Po 5100 mAh;N/A;N/A;163.9 x 76.2 x 8.3 mm (6.45 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.1, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS;Unspecified;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~86.0% screen-to-body ratio);AMOLED, 1B colors;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, June 05;Available. Released 2023, June;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.8, 25mm (wide), PDAF
8 MP, f/2.2, 16mm, 120˚ (ultrawide)
5 MP, f/2.4, (macro)";1080p@30fps;N/A;No;256GB 8GB RAM;Olive Green;N/A;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 810 (6 nm);Mali-G57 MC2;Android 11, MyOS 11.5;N/A;16 MP, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
6;ZTE;ZTE nubia Neo 3;https://www.gsmarena.com/zte_nubia_neo_3-13711.php;N/A;N/A;"33W wired
Bypass Charging";6000 mAh or 5000 mAh;"Pressure sensitive zones (Gaming triggers)
RGB light (on the back)";N/A;-;Nano-SIM + Nano-SIM;-;Yes;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;Unspecified;USB Type-C;Yes;N/A;N/A;1080 x 2392 pixels (~386 ppi density);6.8 inches, 111.9 cm2;AMOLED, 120Hz, 1000 nits (HBM);N/A;Fingerprint (under display, optical), accelerometer, gyro, compass, proximity;2025, March 03;Available. Released 2025, June;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;N/A;No;8GB RAM;Shadow Black, Cyber Silver, Titanium Gold;N/A;About 200 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Unisoc T8300 (6 nm);Mali-G57 MP2;Android 15;N/A;16 MP, f/2.0, (wide);1080p@30fps;N/A;Unspecified;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
7;ZTE;ZTE nubia Focus 2;https://www.gsmarena.com/zte_nubia_focus_2-13709.php;N/A;N/A;22.5W wired;5000 mAh;N/A;N/A;8 mm thickness;Nano-SIM + Nano-SIM;-;Yes;N/A;Unspecified;GPS;Unspecified;USB Type-C;Yes;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~262 ppi density);6.7 inches, 108.4 cm2;IPS LCD, 120Hz, 1000 nits (HBM);N/A;"Fingerprint; unspecified sensors";2025, March 03;Available. Released 2025, June;N/A;LED flash, HDR;N/A;N/A;"108 MP, f/1.8, 24mm (wide), 1/1.67"", PDAF
other unspecified cameras";4K@30fps, 1080p@30fps;N/A;No;256GB 8GB RAM;Aurora White, Cerulean Blue, Obsidian Black;N/A;About 150 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.2 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55);Unisoc T760 (6 nm);Mali-G57;Android 15;N/A;16 MP, (wide);1080p@30fps;N/A;Unspecified;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
8;ZTE;ZTE nubia RedMagic 9 Pro;https://www.gsmarena.com/zte_nubia_red_magic_9_pro-12709.php;N/A;N/A;80W wired, PD3.0, 100% in 35 min;6500 mAh;"Pressure sensitive zones (520Hz touch-sensing)
Built-in cooling fan
Aviation aluminum middle frame";Glass front (Gorilla Glass 5), aluminum frame, glass back;164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in);Nano-SIM + Nano-SIM;229 g (8.08 oz);5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;Yes (market/region dependent);GPS (L1+L5), GLONASS, BDS, GALILEO;No;USB Type-C 3.2 Gen 2, OTG, accessory connector, DisplayPort;Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1116 x 2480 pixels, 20:9 ratio (~400 ppi density);6.8 inches, 111.6 cm2 (~89.1% screen-to-body ratio);AMOLED, 1B colors (China only), 120Hz, 1600 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, November 23;Available. Released 2023, November 23;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, (wide), 1/1.57"", 1.0µm, PDAF, OIS
50 MP, f/2.2, (ultrawide), 1/2.76"", 0.64µm
2 MP, f/2.4, (macro)";8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Sleet (Black), Snowfall (Silver), Cyclone (Transparent Black);NX769J;About 1030 EUR;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 14, Redmagic OS 9;HDR;16 MP, f/2.0, (wide), 1.12µm, under display;1080p@30/60fps;"32-bit/384kHz Hi-Res audio
Snapdragon Sound";Yes;Yes, with stereo speakers;N/A;Active use score 17:38h;N/A;Photo / Video;1016 nits max brightness (measured);-24.8 LUFS (Very good);"AnTuTu: 1629523 (v9), 2119007 (v10)
GeekBench: 6558 (v5), 7175 (v6)
GFXBench: 60fps (ES 3.1 onscreen)"
9;ZTE;ZTE Blade A55;https://www.gsmarena.com/zte_blade_a55-13500.php;N/A;N/A;10W wired;Li-Po 5000 mAh;N/A;N/A;167.7 x 77.4 x 8.5 mm (6.60 x 3.05 x 0.33 in);Nano-SIM + Nano-SIM;-;5.2, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.75 inches, 110.0 cm2 (~84.7% screen-to-body ratio);IPS LCD, 90Hz;N/A;Fingerprint (side-mounted), accelerometer;2024, January;Available. Released 2024, July;N/A;LED flash;N/A;"13 MP, AF
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;Mint Green, Starry Black, Sunset Orange;Z2450;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);Unisoc SC9863A1 (22 nm);IMG8322;Android 14 (Go edition);N/A;8 MP;Yes;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
10;ZTE;ZTE nubia RedMagic 9S Pro;https://www.gsmarena.com/zte_nubia_red_magic_9s_pro-13191.php;N/A;N/A;80W wired, PD3.0, 100% in 35 min;6500 mAh;"Pressure sensitive zones (520Hz touch-sensing)
Built-in cooling fan
Aviation aluminum middle frame
RGB light strip";Glass front (Gorilla Glass 5), aluminum frame, glass back;164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in);Nano-SIM + Nano-SIM;229 g (8.08 oz);5.2, A2DP, LE;Yes;Yes (market/region dependent);GPS (L1+L5), GLONASS, BDS, GALILEO;No;USB Type-C 3.2 Gen 2, OTG, accessory connector, DisplayPort;Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1116 x 2480 pixels, 20:9 ratio (~400 ppi density);6.8 inches, 111.6 cm2 (~89.1% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 1600 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, July 03;Available. Released 2024, July 09;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.9, (wide), 1/1.57"", 1.0µm, PDAF, OIS
50 MP, f/2.2, (ultrawide), 1/2.76"", 0.64µm
2 MP, f/2.4, (depth)";8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps;UFS 4.0;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Design Sleet (Black Version), Snowfall (Silver Version), Cyclone (Transparent Black Version), Frost (White Version);N/A;About 750 EUR;N/A;CDMA2000 1xEV-DO;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 66;1, 3, 5, 6, 7, 8, 20, 28, 38, 41, 65, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;Octa-core (1x3.4 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm);Adreno 750 (1 GHz);Android 14, Redmagic OS 9.5;HDR;"16 MP, f/2.0, (wide), 1/2.8"", 1.12µm, under display";1080p@30/60fps;"32-bit/384kHz Hi-Res audio
Snapdragon Sound";Yes;Yes, with stereo speakers;N/A;Active use score 17:08h;N/A;N/A;1058 nits max brightness (measured);-26.3 LUFS (Good);"AnTuTu: 1631366 (v9), 2117667 
(v10)
GeekBench: 6403 (v5), 7076 (v6)
3DMark: 5429 (Wild Life Extreme)p)"
11;ZTE;ZTE nubia RedMagic 8S Pro+;https://www.gsmarena.com/zte_nubia_red_magic_8s_pro+-12399.php;N/A;N/A;165W wired, PD3.0, 100% in 14 min;Li-Po 5000 mAh;"Pressure sensitive zones (520Hz touch-sensing)
Built-in cooling fan
Aviation aluminum middle frame";Glass front (Gorilla Glass 5), glass back, aluminum frame;164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in);Nano-SIM + Nano-SIM;230 g (8.11 oz);5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;N/A;Yes (market/region dependent);GPS (L1+L5), GLONASS, BDS, GALILEO;No;USB Type-C 3.2 (China), 3.1 (International), OTG, accessory connector, DisplayPort;Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1116 x 2480 pixels, 20:9 ratio (~400 ppi density);6.8 inches, 111.6 cm2 (~89.1% screen-to-body ratio);AMOLED, 1B colors (China only), 120Hz, 1300 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, June 05;Available. Released 2023, July 11;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0µm, PDAF
8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm
2 MP, f/2.4, (macro)";8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps;UFS 4.0;No;256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM;Midnight, Platinum, Aurora;N/A;About 700 EUR;N/A;CDMA2000 1xEV-DO;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm);Adreno 740 (719 MHz);Android 13, Redmagic OS 8;HDR;16 MP, f/2.0, (wide), 1.12µm, under display;1080p@30/60fps;"32-bit/384kHz Hi-Res audio
Snapdragon Sound";Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
12;ZTE;ZTE nubia RedMagic 5S;https://www.gsmarena.com/zte_nubia_red_magic_5s-10339.php;N/A;N/A;55W wired, 56% in 15 min, 100% in 40 min;Li-Po 4500 mAh;"Pressure sensitive zones (300Hz touch-sensing)
Built-in cooling fan";Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame;168.6 x 78 x 9.8 mm (6.64 x 3.07 x 0.39 in);Nano-SIM + Nano-SIM;220 g (7.76 oz);5.1, A2DP, aptX, LE;N/A;Yes;GPS (L1+L5), GLONASS, BDS, GALILEO;No;USB Type-C 3.0, OTG, accessory connector;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass;1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density);6.65 inches, 108.6 cm2 (~82.5% screen-to-body ratio);AMOLED, 144Hz;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, July 28;Available. Released 2020, August 01;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.0, 120˚, 13mm (ultrawide), 1.12µm
2 MP, (macro)";8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps;UFS 3.1;No;128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM;Silver, Pulse;N/A;About 540 EUR;N/A;CDMA2000 1xEV-DO;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41;41, 78, 79 SA/NSA;HSPA, LTE, 5G 7.5 Gbps DL;GSM / CDMA / HSPA / EVDO / LTE / 5G;Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55);Qualcomm SM8250 Snapdragon 865 5G (7 nm+);Adreno 650;Android 10, Redmagic 3.0;HDR;8 MP, f/2.0, (wide), 1.12µm;1080p@30fps;32-bit/384kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;Endurance rating 83h;Photo / Video;459 nits max brightness (measured);-22.6 LUFS (Excellent);"AnTuTu: 557056 (v8)
GeekBench: 13400 (v4.4), 3386 (v5.1)
GFXBench: 46fps (ES 3.1 onscreen)"
13;ZTE;ZTE nubia Music 2;https://www.gsmarena.com/zte_nubia_music_2-13611.php;N/A;N/A;10W wired;5000 mAh;LED notifications lights (on the back);N/A;163.6 x 74.9 x 8.6 mm (6.44 x 2.95 x 0.34 in);Nano-SIM + Nano-SIM;202 g (7.13 oz);5.2, A2DP, LE;N/A;Yes (market/region dependent);GPS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~264 ppi density);6.7 inches, 107.8 cm2 (~88.0% screen-to-body ratio);IPS LCD, 120Hz;N/A;"Fingerprint (side-mounted); unspecified sensors";2025, January 07;Available. Released 2025, January 07;N/A;LED flash, HDR;N/A;"50 MP, f/1.8, (wide), PDAF
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);128GB 4GB RAM;Yellow/Blue/Red, White;N/A;€ 117.06;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Unisoc T7200 (12 nm);Mali-G57 MP1;Android 14;N/A;5 MP, f/2.4, (wide);720p@30fps;N/A;Yes;Yes, with stereo speakers (3 speakers);N/A;N/A;N/A;N/A;N/A;N/A;N/A
